Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,4745.20,4754.33,4722.67,4742.83,4742.83,3743050000
2024-01-03,4725.07,4729.29,4699.71,4704.81,4704.81,3950760000
2024-01-04,4697.42,4726.78,4687.53,4688.68,4688.68,3715480000
2024-01-05,4690.57,4721.49,4682.11,4697.24,4697.24,3844370000
2024-01-08,4703.70,4764.54,4699.82,4763.54,4763.54,3742320000
2024-01-09,4741.93,4765.47,4730.35,4756.50,4756.50,3529960000
2024-01-10,4759.94,4790.80,4756.20,4783.45,4783.45,3498680000
2024-01-11,4792.13,4798.50,4739.58,4780.24,4780.24,3759890000
2024-01-12,4791.18,4802.40,4768.98,4783.83,4783.83,3486340000
